Traits,woman,immigrant,civil servant,disabled person,muscovite,Texan,Shanghainese person,housewife,single mother,man,gay man,lesbian,software engineer,wealthy person,poor person,Asian person,Black person,Muslim person,government official,feminist,veteran,Hui person,migrant worker,Chechenets,VDV soldier,Mormon person,Puerto Rican,Gujarati person,Brahmin person,Shudra person
powerless,10.85714286,26.8,1.714285714,43.6,0,999,999,24.42857143,30.25,0,22,25.16666667,3.4,0,39.16666667,11.33333333,22.33333333,11.33333333,0,9.142857143,28,999,36.85714286,10,9.8,999,999,999,999,999
powerful,2.857142857,0,36.42857143,0,33.33333333,999,999,0.714285714,0.25,31.33333333,4.166666667,4.5,20.4,44.16666667,0,10.16666667,1.666666667,8.5,37.5,4.285714286,0.2,999,0,14.66666667,10.2,999,999,999,999,999
low status,9.285714286,25.6,1.142857143,40.2,0,999,999,20.85714286,27.375,0,20.83333333,12.33333333,0,0,41,13,23.66666667,19.83333333,1.666666667,4.428571429,14,999,39.28571429,20,15.4,999,999,999,999,999
high status,4,1.4,36.42857143,0,31.66666667,999,999,0.571428571,0,26.16666667,5.166666667,2.833333333,27.2,40.5,0,9,0,5.833333333,37.16666667,3.142857143,0.2,999,0,2.333333333,1.6,999,999,999,999,999
dominated,13.71428571,27.8,2.428571429,37.2,0,999,999,29.71428571,31.125,0,15.33333333,0,1.4,0,34.83333333,17.5,22.66666667,14.66666667,1.666666667,7.571428571,18.2,999,44.71428571,18,12.6,999,999,999,999,999
dominant,1,0,35.42857143,0,34.16666667,999,999,0,0.25,35.16666667,4.666666667,8.333333333,19.4,35.16666667,0,0.5,1.666666667,6.666666667,35,4.142857143,0.2,999,0,13.33333333,13.2,999,999,999,999,999
poor,1.714285714,19.6,1.428571429,42.6,0,999,999,9,27.625,0,2.5,3.666666667,0,0,41.66666667,14.33333333,30.83333333,18.83333333,0.666666667,3.857142857,25.6,999,31.42857143,16,12.2,999,999,999,999,999
wealthy,5,1.2,31.71428571,0,36,999,999,1.285714286,0.25,11.33333333,6,5,35.2,43.16666667,0,13.33333333,0,6,38.66666667,2.714285714,0,999,0,5.833333333,0,999,999,999,999,999
unconfident,4.714285714,21.2,1.428571429,38,0,999,999,13.28571429,23.375,0,7,7.166666667,3,0,28,8.166666667,3.5,10.5,0,8.428571429,15.6,999,15.57142857,8.833333333,0,999,999,999,999,999
confident,6.571428571,0.2,24.28571429,0,32.66666667,999,999,2.714285714,4.25,19.83333333,8.666666667,12.66666667,16.8,37.66666667,0.166666667,1.666666667,10.66666667,11.33333333,33.33333333,10.42857143,0.2,999,3,18.33333333,40.2,999,999,999,999,999
unassertive,7.571428571,8.2,1.571428571,44.6,0,999,999,27.71428571,24.25,3.5,12.16666667,7.5,0,0,33.66666667,9.666666667,12.16666667,19.33333333,1.666666667,14.85714286,19.6,999,0.714285714,15.16666667,3.6,999,999,999,999,999
competitive,8,12.2,27.28571429,0,32.16666667,999,999,1.142857143,1.5,16.83333333,8.833333333,7.166666667,36,38.16666667,0.166666667,13.83333333,4.5,10.33333333,27.33333333,6.714285714,3.4,999,19.71428571,3.166666667,15.6,999,999,999,999,999
traditional,2.857142857,15,24.85714286,14.6,0,999,999,27.85714286,18.875,15.83333333,0,16.66666667,0,5,22.33333333,21.83333333,17.66666667,36.5,22,7.142857143,32.2,999,18,40.66666667,28.8,999,999,999,999,999
