Traits,woman,immigrant,civil servant,disabled person,muscovite,Texan,Shanghainese person,housewife,single mother,man,gay man,lesbian,software engineer,wealthy person,poor person,Asian person,Black person,Muslim person,government official,feminist,veteran,Hui person,migrant worker,Chechenets,VDV soldier,Mormon person,Puerto Rican,Gujarati person,Brahmin person,Shudra person
powerless,16.27272727,11.42857143,0,34.83333333,999,999,0,19.75,17.77777778,0,21.71428571,7.571428571,1.111111111,0,43.125,2.333333333,5.625,13.4,0,0,10,4,28.71428571,999,999,999,999,999,999,999
powerful,2.090909091,7,32.875,0,999,999,14.83333333,1.625,12,23.77777778,0,2.142857143,21.55555556,38.125,0,13.41666667,14.125,1.4,45.5,26,16,4.6,1.428571429,999,999,999,999,999,999,999
low status,15.18181818,11.71428571,0,22.5,999,999,0,20,12.22222222,0,20,12.85714286,0,0,36.625,3.583333333,13.5,15.8,0,2.2,5.4,6.2,32,999,999,999,999,999,999,999
high status,0.090909091,4.857142857,28.25,0,999,999,16.33333333,0,1.444444444,11.66666667,0,0.857142857,20.22222222,36.25,4.25,5.583333333,3.625,0,38.16666667,15,11.8,3.8,0,999,999,999,999,999,999,999
dominated,16.90909091,10.85714286,0,33.5,999,999,0,16.625,16.55555556,0,20.42857143,9.285714286,0.555555556,0,39,2.583333333,4.375,11,0,7.4,5.8,4.2,33.85714286,999,999,999,999,999,999,999
dominant,0.090909091,7.571428571,27.5,0,999,999,16.16666667,1.625,3.555555556,18,0.142857143,1.285714286,12.11111111,40.375,2.75,9.416666667,12.5,7.8,44.83333333,23.2,13.4,3.8,0,999,999,999,999,999,999,999
poor,9,2.714285714,0,19.33333333,999,999,1.666666667,8.625,14.11111111,1,0,2.857142857,0,0,50,3.166666667,22.75,15.4,0,1,3.2,5.2,22.71428571,999,999,999,999,999,999,999
wealthy,1,13.57142857,22.75,0,999,999,19.33333333,3.375,0,10.44444444,10.71428571,1.142857143,28,45.25,0,7.083333333,0,4.2,39.5,5.8,6.6,3.6,1.428571429,999,999,999,999,999,999,999
unconfident,8.545454545,6,0,24.66666667,999,999,0,12,9.666666667,1.555555556,10.14285714,4.571428571,2.777777778,2.875,35.5,6.416666667,5,9.4,0,0,0,4.2,22.28571429,999,999,999,999,999,999,999
confident,1.181818182,5.714285714,20.25,0,999,999,22.16666667,6.75,4.666666667,13.11111111,4.285714286,1.571428571,19.88888889,28.375,0.375,2.666666667,17.75,10,40.33333333,32.8,14.8,0.2,4,999,999,999,999,999,999,999
unassertive,9.909090909,5.571428571,0,15.66666667,999,999,2,6,8,0,6.428571429,2,2.444444444,2.25,20.625,7.083333333,3.25,4,1.833333333,0,4.6,4.2,24,999,999,999,999,999,999,999
competitive,0.636363636,6,23.5,0,999,999,15.33333333,6.375,8.333333333,24.77777778,4.857142857,3.428571429,20.11111111,28,3.375,11.58333333,19.375,7.2,33.83333333,35.4,15.6,2.8,1,999,999,999,999,999,999,999
traditional,13.36363636,6.428571429,19.875,6.5,999,999,0.5,24.5,5.333333333,14.44444444,0,0,1.555555556,7.875,32.375,19,6.25,36.6,24.66666667,0,26.2,30.4,24.57142857,999,999,999,999,999,999,999
modern,1.454545455,9.857142857,9.125,0.666666667,999,999,22,1.625,6.555555556,0.111111111,33.14285714,25.28571429,21.55555556,13.875,0,1.666666667,14.875,2,4.166666667,37.8,0,0,0,999,999,999,999,999,999,999
religious,0.545454545,7.428571429,0,8,999,999,6,7.75,0,1,0,0,0,3.625,0,10.66666667,13.5,47.4,7.166666667,0,4.2,31.4,1.714285714,999,999,999,999,999,999,999
non religious,11.90909091,1.857142857,34,2,999,999,11.83333333,10.875,5.888888889,17.55555556,29.14285714,16.71428571,20.44444444,21.125,21,6.916666667,2.125,0,31,13.2,28.6,0,8,999,999,999,999,999,999,999
conservative,11.09090909,3.428571429,12.125,8,999,999,0,16.875,2.111111111,6.444444444,0,4,2.222222222,7.25,26.5,17.58333333,3.25,32.4,24.16666667,0,25.6,17.8,18.14285714,999,999,999,999,999,999,999
liberal,0.818181818,15.28571429,8.5,2.833333333,999,999,17.83333333,2.125,7.444444444,2.444444444,30.28571429,22.42857143,19.33333333,8,0,0.083333333,16.375,0,2.833333333,30.8,0,0,0,999,999,999,999,999,999,999
untrustworthy,0.363636364,5.857142857,6.75,4.5,999,999,3.166666667,3.75,1.111111111,6.333333333,8.285714286,4.571428571,0,16.375,19.5,1.083333333,28.5,11.8,15.83333333,1,0,9,1.714285714,999,999,999,999,999,999,999
trustworthy,9.454545455,8.571428571,7,3.333333333,999,999,13,9.625,18.33333333,8.333333333,3.714285714,3,20.33333333,5.25,7.625,20.91666667,0,0,13.33333333,16.4,22.4,0,16.28571429,999,999,999,999,999,999,999
dishonest,1.363636364,2.142857143,5,0,999,999,1.5,0.125,1.666666667,6.444444444,8.428571429,8.571428571,1.555555556,18.25,13.625,2.916666667,11.625,10.4,15.5,0.4,0,10.2,0,999,999,999,999,999,999,999
sincere,10.45454545,10.42857143,5.125,9.166666667,999,999,11.66666667,16.375,10.33333333,3.666666667,6.714285714,1.142857143,16.66666667,4,11.125,15.58333333,0.375,1,6.666666667,12.2,20.4,0,19.14285714,999,999,999,999,999,999,999
cold,1.909090909,7.571428571,5.875,1.5,999,999,1.833333333,0.125,0,7.222222222,5.428571429,7.142857143,9.222222222,16.5,9.25,8.083333333,7.875,14.6,16.16666667,0.8,6,3,1,999,999,999,999,999,999,999
warm,9.545454545,5.571428571,4.625,6.666666667,999,999,10.5,19.25,16.22222222,3,12,3.857142857,1.888888889,0.125,13.75,10.83333333,1.625,1,5.5,5,11.6,2.6,19.42857143,999,999,999,999,999,999,999
threatening,1.181818182,8.142857143,2.375,0,999,999,0,0.125,0,2.666666667,7.142857143,7.285714286,0,15.625,6.25,0,28,22.6,10,0,3.4,11.2,5.857142857,999,999,999,999,999,999,999
benevolent,10.63636364,12.42857143,5.125,11.83333333,999,999,15.5,20.5,13.66666667,3.333333333,9.571428571,4.285714286,13.11111111,0,15.25,18,0,0,7,5,8.2,0,16.42857143,999,999,999,999,999,999,999
repellent,2.727272727,9.857142857,8.25,3.666666667,999,999,0,2,0,3,9.285714286,12.85714286,0,12.125,19.25,0.333333333,20.75,15.4,13.66666667,4.4,0,8.4,7,999,999,999,999,999,999,999
